"redshift","g.r","g.r_err","fracdeV","type"
0.0596,0.499,0.023,0.15,0
0.0701,0.507,0.019,0.19,0
0.0832,0.477,0.017,0.31,0
0.0573,0.567,0.196,0.11,0
0.0466,0.548,0.016,0.48,0
0.0674,0.645,0.151,0.16,0
0.0531,0.497,0.019,0.01,0
0.037,0.506,0.034,0.18,0
0.0733,0.629,0.018,0.1,0
0.0834,0.355,0.025,0.16,0
0.0785,0.52,0.019,0.37,0
0.0814,0.491,0.021,0.14,0
0.075,0.573,0.016,0.27,0
0.0655,0.35,0.025,0.22,0
0.05,0.555,0.016,0.23,0
0.0806,0.259,0.02,0.08,0
0.0457,0.562,0.016,0,0
0.0751,0.545,0.016,0,0
0.0606,0.611,0.019,0.15,0
0.0677,0.582,0.017,0.11,0
0.0761,0.349,0.173,0.35,0
0.0625,0.664,0.017,0.45,0
0.079,0.641,0.021,0.19,0
0.0718,0.418,0.016,0.1,0
0.0355,0.573,0.015,0.25,0
0.0728,0.589,0.027,0,0
0.0696,0.484,0.024,0.07,0
0.0413,0.583,0.016,0.07,0
0.0634,0.655,0.015,0.43,0
0.0689,0.492,0.022,0.05,0
0.0796,0.638,0.017,0,0
0.0342,0.521,0.018,0,0
0.079,0.519,0.02,0.08,0
0.0785,0.628,0.017,0.12,0
0.0817,0.599,0.017,0.39,0
0.078,0.389,0.018,0.1,0
0.0673,0.536,0.017,0.25,0
0.0813,0.41,0.021,0.35,0
0.0736,0.564,0.018,0.23,0
0.0815,0.453,0.026,0.03,0
0.0646,0.283,0.025,0.21,0
0.0471,0.484,0.019,0,0
0.069,0.468,0.02,0.08,0
0.0826,0.546,0.019,0,0
0.0815,0.469,0.019,0,0
0.0437,0.319,0.028,0.04,0
0.0703,0.488,0.017,0.15,0
0.0752,0.569,0.023,0,0
0.0523,0.51,0.112,0,0
0.0845,0.583,0.017,0.19,0
0.0362,0.493,0.017,0.05,0
0.0503,0.536,0.016,0.5,0
0.0721,0.463,0.02,0.04,0
0.0463,0.635,0.016,0.24,0
0.0621,0.44,0.018,0.11,0
0.0406,0.571,0.015,0,0
0.0395,0.437,0.019,0.01,0
0.0473,0.453,0.019,0.4,0
0.0467,0.322,0.016,0.13,0
0.0553,0.617,0.018,0.17,0
0.0378,0.439,0.016,0,0
0.085,0.647,0.021,0.05,0
0.0561,0.359,0.018,0.1,0
0.0552,0.565,0.015,0.22,0
0.0587,0.624,0.018,0.16,0
0.0736,0.332,0.027,0.09,0
0.0832,0.372,0.021,0,0
0.0591,0.368,0.023,0.24,0
0.0702,0.455,0.022,0.29,0
0.0558,0.66,0.016,0.3,0
0.0849,0.509,0.018,0.49,0
0.0404,0.545,0.015,0.27,0
0.0472,0.492,0.018,0,0
0.0477,0.405,0.019,0.13,0
0.058,0.472,0.017,0,0
0.058,0.461,0.024,0.02,0
0.0468,0.631,0.015,0.37,0
0.0477,0.477,0.02,0,0
0.0501,0.557,0.016,0.1,0
0.0726,0.6,0.018,0,0
0.0394,0.386,0.016,0.25,0
0.0449,0.4,0.015,0.14,0
0.0761,0.425,0.024,0.21,0
0.0753,0.619,0.017,0.32,0
0.0486,0.598,0.017,0.47,0
0.0695,0.555,0.018,0.12,0
0.0402,0.526,0.017,0,0
0.0354,0.589,0.015,0.43,0
0.0384,0.482,0.015,0.44,0
0.0384,0.528,0.071,0.06,0
0.0731,0.527,0.03,0.31,0
0.0638,0.458,0.022,0.01,0
0.0629,0.46,0.019,0,0
0.0354,0.584,0.016,0.25,0
0.0397,0.434,0.379,0.22,0
0.0483,0.524,0.02,0.04,0
0.063,0.608,0.02,0,0
0.0354,0.481,0.238,0.13,0
0.0805,0.465,0.021,0.38,0
0.0521,0.469,0.016,0.2,0
0.0558,0.561,0.016,0.27,0
0.0687,0.524,0.034,0.44,0
0.0678,0.502,0.027,0,0
0.0626,0.568,0.018,0.1,0
0.0485,0.513,0.022,0,0
0.0759,0.635,0.022,0.36,0
0.0571,0.45,0.016,0.03,0
0.0842,0.467,0.021,0.07,0
0.0489,0.449,0.02,0.06,0
0.0623,0.5,0.018,0.19,0
0.0334,0.573,0.016,0,0
0.0766,0.477,0.016,0.08,0
0.0484,0.556,0.015,0.05,0
0.0505,0.389,0.017,0.08,0
0.0579,0.491,0.021,0.22,0
0.0402,0.56,0.016,0.39,0
0.048,0.626,0.062,0.08,0
0.0433,0.435,0.018,0.34,0
0.0657,0.489,0.017,0.03,0
0.0472,0.535,0.016,0,0
0.0643,0.593,0.016,0.33,0
0.0835,0.495,0.019,0,0
0.0332,0.529,0.015,0.05,0
0.0584,0.595,0.018,0.06,0
0.0709,0.405,0.024,0.07,0
0.0486,0.49,0.016,0,0
0.0622,0.482,0.046,0.11,0
0.038,0.518,0.016,0.29,0
0.0373,0.412,0.016,0.09,0
0.042,0.486,0.016,0.14,0
0.0606,0.427,0.021,0.14,0
0.0467,0.522,0.015,0,0
0.0337,0.502,0.017,0.41,0
0.0555,0.639,0.015,0.47,0
0.0708,0.558,0.015,0.15,0
0.0712,0.582,0.395,0.39,0
0.0327,0.474,0.016,0.02,0
0.0327,0.392,0.017,0.14,0
0.0454,0.491,0.017,0.05,0
0.0721,0.636,0.016,0.23,0
0.0771,0.473,0.016,0.36,0
0.0312,0.449,0.015,0,0
0.0623,0.63,0.018,0.13,0
0.0643,0.487,0.018,0,0
0.0365,0.579,0.016,0.07,0
0.0467,0.554,0.017,0.33,0
0.0513,0.664,0.016,0.48,0
0.0343,0.45,0.021,0.41,0
0.0629,0.55,0.022,0.05,0
0.0536,0.612,0.015,0.12,0
0.052,0.464,0.018,0.02,0
0.0744,0.561,0.024,0,0
0.0538,0.544,0.022,0.14,0
0.0837,0.627,0.018,0.49,0
0.0681,0.422,0.032,0.08,0
0.0588,0.541,0.016,0.24,0
0.0688,0.553,0.016,0,0
0.0502,0.581,0.016,0.36,0
0.0335,0.615,0.015,0.25,0
0.0335,0.383,0.015,0.06,0
0.0628,0.462,0.017,0.1,0
0.0524,0.526,0.015,0.23,0
0.0635,0.592,0.019,0,0
0.0731,0.484,0.031,0.05,0
0.0619,0.437,0.021,0,0
0.0743,0.433,0.022,0.1,0
0.0813,0.526,0.017,0.14,0
0.0705,0.559,0.02,0,0
0.0814,0.634,0.017,0.17,0
0.0526,0.648,0.016,0.23,0
0.0687,0.585,0.018,0.02,0
0.0524,0.536,0.016,0.07,0
0.0331,0.398,0.015,0.28,0
0.0526,0.49,0.018,0,0
0.0695,0.416,0.026,0.21,0
0.084,0.515,0.016,0.33,0
0.0589,0.592,0.016,0.04,0
0.071,0.571,0.018,0.3,0
0.0465,0.594,0.015,0.26,0
0.0447,0.569,0.015,0.31,0
0.0708,0.624,0.015,0.1,0
0.08,0.501,0.019,0.31,0
0.0827,0.517,0.019,0.06,0
0.0479,0.506,0.015,0.09,0
0.0464,0.666,0.015,0.37,0
0.0849,0.425,0.018,0,0
0.0309,0.55,0.016,0.4,0
0.0748,0.561,0.017,0.16,0
0.0739,0.576,0.023,0,0
0.0453,0.404,0.018,0.15,0
0.0368,0.615,0.016,0.21,0
0.0499,0.578,0.267,0.22,0
0.0816,0.557,0.019,0.37,0
0.0829,0.379,0.029,0.32,0
0.0574,0.529,0.02,0,0
0.0574,0.404,0.024,0.08,0
0.0401,0.561,0.017,0,0
0.0332,0.506,0.015,0.21,0
0.0637,0.445,0.026,0.11,0
0.067,0.495,0.021,0.16,0
0.0829,0.544,0.018,0.35,0
0.0732,0.599,0.017,0.4,0
0.0687,0.39,0.018,0.25,0
0.0619,0.482,0.017,0,0
0.07,0.64,0.021,0.38,0
0.0617,0.464,0.017,0.33,0
0.0523,0.445,0.017,0.02,0
0.0724,0.594,0.02,0.05,0
0.062,0.465,0.018,0.07,0
0.0718,0.554,0.018,0.05,0
0.0695,0.54,0.016,0.1,0
0.0458,0.549,0.015,0.02,0
0.0359,0.628,0.015,0.34,0
0.0537,0.56,0.016,0.27,0
0.075,0.349,0.021,0.31,0
0.0675,0.634,0.016,0.32,0
0.069,0.518,0.019,0.05,0
0.0574,0.55,0.018,0.24,0
0.0431,0.445,0.019,0.23,0
0.0395,0.573,0.016,0.07,0
0.0763,0.43,1.19,0.07,0
0.0522,0.611,0.016,0.48,0
0.0367,0.594,0.015,0.02,0
0.0608,0.638,0.019,0.22,0
0.0464,0.441,0.073,0.16,0
0.0458,0.506,0.016,0.09,0
0.0682,0.592,0.017,0,0
0.043,0.597,0.018,0.2,0
0.0359,0.515,0.015,0.13,0
0.0587,0.577,0.016,0.33,0
0.0447,0.55,0.016,0.07,0
0.0475,0.53,0.017,0.34,0
0.0651,0.497,0.017,0.15,0
0.0555,0.55,0.016,0.06,0
0.08,0.624,0.024,0.48,0
0.0489,0.573,0.017,0.07,0
0.0761,0.529,0.021,0.08,0
0.0501,0.533,0.017,0.28,0
0.0653,0.608,0.018,0,0
0.0777,0.55,0.026,0.22,0
0.0629,0.508,0.022,0.18,0
0.0727,0.552,0.017,0.37,0
0.0523,0.593,0.017,0.17,0
0.0357,0.482,0.015,0.28,0
0.0695,0.421,0.042,0.11,0
0.0806,0.596,0.017,0.18,0
0.0605,0.508,0.015,0.28,0
0.0638,0.579,0.015,0.43,0
0.0425,0.521,0.019,0.01,0
0.0574,0.588,0.016,0.03,0
0.07,0.424,0.021,0.17,0
0.0467,0.36,0.016,0,0
0.0534,0.54,0.019,0.3,0
0.0464,0.531,0.021,0,0
0.06,0.46,0.021,0.27,0
0.0757,0.438,0.022,0,0
0.0621,0.653,0.016,0.22,0
0.0345,0.572,0.017,0.23,0
0.0604,0.591,0.017,0,0
0.0701,0.551,0.016,0.25,0
0.0618,0.52,0.017,0,0
0.0581,0.583,0.02,0.13,0
0.0824,0.358,0.025,0.12,0
0.0746,0.575,0.018,0.29,0
0.0617,0.525,0.031,0.14,0
0.076,0.569,0.029,0.22,0
0.075,0.621,0.019,0.32,0
0.0523,0.505,0.021,0,0
0.0834,0.583,0.021,0.47,0
0.054,0.602,0.018,0.04,0
0.033,0.527,0.016,0.35,0
0.0326,0.626,0.015,0.4,0
0.0751,0.436,0.028,0.29,0
0.0787,0.613,0.021,0.31,0
0.043,0.493,0.018,0.14,0
0.0347,0.556,0.015,0.05,0
0.0346,0.455,0.016,0.03,0
0.0332,0.494,0.02,0.31,0
0.0613,0.593,0.019,0.47,0
0.0823,0.503,0.019,0.19,0
0.0501,0.51,0.018,0.22,0
0.0817,0.426,0.026,0,0
0.0463,0.585,0.017,0.11,0
0.0735,0.516,0.023,0.07,0
0.0587,0.321,0.018,0.42,0
0.0636,0.602,0.017,0.05,0
0.0708,0.601,0.018,0.06,0
0.0652,0.53,0.02,0.09,0
0.0623,0.428,0.021,0.07,0
0.0754,0.613,0.018,0.25,0
0.0662,0.469,0.016,0.37,0
0.0778,0.45,0.036,0,0
0.0491,0.476,0.016,0.15,0
0.0758,0.58,0.021,0.06,0
0.062,0.538,0.024,0.29,0
0.0525,0.605,0.015,0,0
0.0353,0.499,0.015,0.13,0
0.0442,0.617,0.033,0.2,0
0.0593,0.627,0.015,0.04,0
0.035,0.581,0.017,0.2,0
0.0742,0.531,0.021,0,0
0.0762,0.615,0.016,0.18,0
0.06,0.54,0.023,0.43,0
0.0552,0.581,0.022,0.35,0
0.0486,0.472,0.025,0.07,0
0.0662,0.453,0.025,0.33,0
0.072,0.534,0.018,0.01,0
0.0465,0.324,0.016,0,0
0.0779,0.528,0.023,0.06,0
0.0385,0.469,0.015,0.02,0
0.0636,0.558,0.029,0.11,0
0.0313,0.593,0.016,0.24,0
0.0635,0.524,0.02,0.01,0
0.0715,0.329,0.024,0.19,0
0.0666,0.622,0.016,0.23,0
0.0558,0.544,0.016,0.38,0
0.0333,0.638,0.015,0.11,0
0.0346,0.637,0.015,0.09,0
0.0345,0.645,0.015,0.21,0
0.067,0.642,0.016,0.5,0
0.0598,0.379,0.026,0.3,0
0.058,0.618,0.022,0.45,0
0.0706,0.618,0.017,0.33,0
0.0751,0.653,0.017,0.46,0
0.064,0.495,0.143,0.39,0
0.0405,0.337,0.023,0,0
0.0673,0.502,0.021,0,0
0.0721,0.474,0.017,0.1,0
0.0684,0.437,0.021,0,0
0.0454,0.539,0.015,0,0
0.0564,0.5,0.016,0.19,0
0.0684,0.398,0.018,0.48,0
0.0719,0.57,0.017,0.35,0
0.073,0.561,0.022,0.22,0
0.0491,0.488,0.081,0.27,0
0.0702,0.513,0.019,0.01,0
0.0684,0.408,0.018,0.02,0
0.05,0.548,0.016,0.04,0
0.0496,0.512,0.017,0.2,0
0.0563,0.522,0.016,0.04,0
0.0326,0.386,0.017,0.2,0
0.0689,0.571,0.017,0.43,0
0.0568,0.564,0.017,0.39,0
0.0839,0.518,0.016,0.05,0
0.083,0.437,0.029,0.45,0
0.0592,0.615,0.017,0.34,0
0.057,0.423,0.016,0.09,0
0.0498,0.633,0.015,0.24,0
0.0848,0.641,0.019,0.07,0
0.0747,0.564,0.026,0,0
0.0831,0.431,0.026,0.19,0
0.0531,0.643,0.017,0.18,0
0.0804,0.572,0.024,0.27,0
0.0494,0.489,0.02,0.03,0
0.0431,0.367,0.02,0.17,0
0.0717,0.518,0.023,0.06,0
0.0711,0.501,0.022,0.02,0
0.0826,0.551,0.019,0.06,0
0.0757,0.447,0.019,0.33,0
0.0342,0.437,0.016,0,0
0.0511,0.472,0.021,0.05,0
0.065,0.536,0.02,0.04,0
0.0749,0.487,0.019,0.17,0
0.0779,0.565,0.017,0.12,0
0.0778,0.579,0.017,0.42,0
0.0805,0.603,0.016,0.32,0
0.0613,0.386,0.017,0.32,0
0.0776,0.547,0.016,0.24,0
0.0653,0.537,0.015,0,0
0.0647,0.502,0.022,0.27,0
0.0666,0.538,0.015,0.31,0
0.0566,0.575,0.016,0.26,0
0.0527,0.598,0.015,0.37,0
0.0496,0.521,0.022,0,0
0.0823,0.572,0.017,0,0
0.0637,0.582,0.017,0,0
0.0547,0.613,0.017,0.17,0
0.0834,0.513,0.022,0,0
0.0477,0.57,0.016,0.47,0
0.0605,0.569,0.019,0.22,0
0.0815,0.493,0.017,0.04,0
0.0779,0.417,0.03,0.11,0
0.0767,0.488,0.016,0.3,0
0.0645,0.562,0.02,0.41,0
0.04,0.517,0.016,0,0
0.0616,0.662,0.015,0.37,0
0.0755,0.522,0.043,0.25,0
0.0822,0.585,0.016,0.24,0
0.0409,0.478,0.018,0.31,0
0.0655,0.548,0.015,0.1,0
0.0758,0.532,0.019,0,0
0.0659,0.51,0.018,0.32,0
0.0649,0.628,0.015,0.48,0
0.0702,0.501,0.02,0,0
0.059,0.543,0.016,0,0
0.0481,0.598,0.017,0.1,0
0.0841,0.531,0.026,0,0
0.0557,0.602,0.016,0.1,0
0.0764,0.595,0.017,0.1,0
0.0759,0.505,0.017,0.02,0
0.0544,0.591,0.017,0.18,0
0.0807,0.549,0.019,0.21,0
0.0429,0.347,0.015,0.14,0
0.08,0.41,0.021,0.11,0
0.0432,0.566,0.015,0.17,0
0.0385,0.409,0.026,0.09,0
0.0777,0.565,0.021,0,0
0.0611,0.619,0.015,0.3,0
0.0678,0.344,0.031,0.3,0
0.0486,0.561,0.105,0,0
0.035,0.576,0.018,0.14,0
0.081,0.506,0.019,0.03,0
0.0803,0.425,0.018,0,0
0.0718,0.498,0.018,0,0
0.0788,0.603,0.017,0.26,0
0.0652,0.555,0.02,0.48,0
0.0717,0.584,0.021,0,0
0.0715,0.588,0.015,0.17,0
0.0485,0.583,0.018,0,0
0.0674,0.565,0.018,0.22,0
0.0384,0.523,0.015,0.23,0
0.05,0.495,0.025,0.07,0
0.0386,0.589,0.015,0,0
0.0802,0.463,0.097,0,0
0.0509,0.616,0.016,0.38,0
0.0793,0.535,0.038,0,0
0.0537,0.49,0.016,0.16,0
0.0514,0.593,0.017,0,0
0.0508,0.451,0.016,0.25,0
0.0639,0.608,0.02,0.47,0
0.0685,0.592,0.016,0.41,0
0.053,0.629,0.015,0.15,0
0.0716,0.548,0.018,0.49,0
0.0757,0.591,0.017,0.3,0
0.0763,0.57,0.017,0,0
0.031,0.51,0.016,0.11,0
0.0557,0.592,0.016,0.5,0
0.0525,0.523,0.015,0.04,0
0.0514,0.56,0.015,0.28,0
0.0701,0.664,0.016,0.42,0
0.0686,0.534,0.029,0,0
0.079,0.532,0.023,0.21,0
0.066,0.512,0.018,0,0
0.0802,0.502,0.025,0,0
0.0729,0.509,0.016,0.21,0
0.0446,0.545,0.022,0.05,0
0.0329,0.497,0.019,0.28,0
0.0497,0.54,0.017,0.26,0
0.0309,0.623,0.015,0.11,0
0.075,0.519,0.019,0,0
0.067,0.641,0.016,0.14,0
0.0827,0.591,0.018,0.37,0
0.0332,0.618,0.015,0.37,0
0.0806,0.421,0.017,0.18,0
0.0416,0.509,0.017,0,0
0.0478,0.383,0.03,0.1,0
0.0537,0.622,0.057,0.26,0
0.0436,0.495,0.017,0.01,0
0.0736,0.534,0.015,0.16,0
0.0581,0.652,0.017,0.48,0
0.0514,0.408,0.017,0.37,0
0.0754,0.525,0.02,0,0
0.0538,0.463,0.018,0.17,0
0.0668,0.528,0.018,0,0
0.0845,0.44,0.026,0.04,0
0.0327,0.61,0.015,0,0
0.0692,0.65,0.016,0.45,0
0.0517,0.647,0.017,0.43,0
0.0818,0.505,0.017,0.06,0
0.0824,0.595,0.02,0.1,0
0.0503,0.514,0.018,0,0
0.0703,0.378,0.029,0,0
0.0658,0.647,0.019,0.39,0
0.0697,0.534,0.03,0.13,0
0.0546,0.552,0.017,0.3,0
0.077,0.318,0.026,0.31,0
0.0495,0.508,0.016,0.18,0
0.0785,0.513,0.043,0.15,0
0.0517,0.648,0.016,0.03,0
0.0666,0.498,0.016,0.08,0
0.0504,0.542,0.015,0.45,0
0.0701,0.387,0.02,0.09,0
0.0457,0.497,0.018,0.2,0
0.0304,0.468,0.023,0.15,0
0.0602,0.538,0.017,0.23,0
0.0699,0.558,0.018,0.29,0
0.0798,0.589,0.019,0,0
0.0691,0.523,0.018,0.04,0
0.0668,0.535,0.015,0.13,0
0.0538,0.502,0.017,0.18,0
0.0349,0.26,0.016,0.13,0
0.0689,0.597,0.024,0.25,0
0.0666,0.483,0.017,0.14,0
0.0826,0.55,0.017,0.05,0
0.0522,0.431,0.017,0.15,0
0.0783,0.545,0.017,0.47,0
0.0627,0.521,0.018,0.05,0
0.0654,0.532,0.02,0.41,0
0.0433,0.466,0.021,0.14,0
0.0631,0.537,0.017,0.18,0
0.0796,0.65,0.015,0.38,0
0.0685,0.5,0.017,0,0
0.0402,0.534,0.016,0,0
0.0707,0.479,0.018,0.08,0
0.0654,0.516,0.016,0.04,0
0.0328,0.429,0.016,0.06,0
0.0808,0.585,0.019,0.18,0
0.0636,0.542,0.017,0,0
0.0791,0.573,0.016,0.23,0
0.082,0.653,0.017,0.37,0
0.0556,0.547,0.015,0,0
0.0558,0.553,0.016,0.34,0
0.0644,0.453,0.016,0.06,0
0.0767,0.539,0.017,0.41,0
0.0701,0.403,0.026,0.1,0
0.0841,0.53,0.018,0.28,0
0.0598,0.621,0.02,0.08,0
0.0512,0.449,0.021,0.13,0
0.0667,0.532,0.018,0.04,0
0.0561,0.551,0.016,0.33,0
0.0329,0.485,0.016,0.19,0
0.0805,0.464,0.024,0,0
0.0635,0.373,0.026,0.32,0
0.0515,0.427,0.019,0.29,0
0.0795,0.629,0.022,0,0
0.0617,0.615,0.016,0.14,0
0.0648,0.441,0.02,0.08,0
0.072,0.461,0.018,0.01,0
0.0529,0.536,0.015,0.17,0
0.0648,0.595,0.016,0.24,0
0.0374,0.588,0.016,0.34,0
0.0701,0.5,0.016,0.47,0
0.0821,0.555,0.02,0.26,0
0.0572,0.506,0.022,0.01,0
0.0788,0.545,0.019,0.12,0
0.0613,0.501,0.016,0.23,0
0.053,0.455,0.021,0,0
0.067,0.566,0.019,0,0
0.0515,0.589,0.021,0.15,0
0.0372,0.54,0.015,0.08,0
0.0689,0.518,0.017,0.28,0
0.0821,0.452,0.018,0.04,0
0.0439,0.54,0.017,0.11,0
0.0637,0.427,0.017,0.14,0
0.0779,0.558,0.019,0.36,0
0.0356,0.575,0.017,0,0
0.0584,0.603,0.025,0.44,0
0.0649,0.573,0.016,0.07,0
0.0388,0.587,0.015,0.18,0
0.0822,0.502,0.016,0.32,0
0.0737,0.57,0.016,0.2,0
0.0722,0.428,0.022,0.23,0
0.054,0.57,0.015,0.21,0
0.0583,0.52,0.018,0.04,0
0.0644,0.36,0.033,0.11,0
0.0796,0.462,0.023,0,0
0.0633,0.502,0.02,0,0
0.0576,0.64,0.015,0.3,0
0.0615,0.354,0.017,0.39,0
0.0784,0.502,0.021,0,0
0.0652,0.541,0.017,0.17,0
0.0639,0.62,0.017,0,0
0.067,0.495,0.016,0,0
0.0308,0.604,0.016,0.37,0
0.0651,0.447,0.015,0.06,0
0.0633,0.521,0.016,0.32,0
0.0473,0.563,0.015,0.19,0
0.0825,0.577,0.02,0.1,0
0.0718,0.522,0.017,0.12,0
0.0786,0.521,0.027,0.24,0
0.0833,0.561,0.021,0,0
0.0651,0.602,0.018,0.03,0
0.0643,0.477,0.017,0,0
0.0547,0.584,0.017,0.05,0
0.0793,0.448,0.02,0.01,0
0.0779,0.33,0.034,0.27,0
0.0412,0.596,0.015,0.32,0
0.0703,0.591,0.019,0.33,0
0.057,0.526,0.017,0,0
0.0776,0.598,0.017,0.49,0
0.0609,0.438,0.033,0.26,0
0.0374,0.488,0.018,0.09,0
0.0372,0.372,0.019,0.07,0
0.0675,0.375,0.017,0.08,0
0.079,0.551,0.026,0.21,0
0.0776,0.527,0.017,0.24,0
0.0589,0.501,0.019,0.45,0
0.0458,0.503,0.016,0.19,0
0.0633,0.534,0.019,0.22,0
0.0561,0.453,0.019,0.02,0
0.0376,0.566,0.015,0.46,0
0.0792,0.627,0.025,0,0
0.0371,0.543,0.018,0.04,0
0.0373,0.475,0.018,0.04,0
0.063,0.635,0.017,0.23,0
0.0698,0.538,0.019,0.31,0
0.0653,0.594,0.017,0.07,0
0.0655,0.674,0.015,0.26,0
0.0715,0.52,0.017,0.39,0
0.0405,0.442,0.018,0.23,0
0.0782,0.623,0.017,0.47,0
0.0722,0.58,0.017,0.34,0
0.0819,0.622,0.024,0.03,0
0.0514,0.546,0.017,0.42,0
0.037,0.592,0.015,0.29,0
0.061,0.537,0.018,0,0
0.0503,0.577,0.016,0.22,0
0.0543,0.413,0.019,0.23,0
0.0347,0.538,0.02,0.16,0
0.0527,0.572,0.02,0.12,0
0.0813,0.489,0.016,0.09,0
0.0589,0.524,0.017,0,0
0.0781,0.607,0.017,0.1,0
0.0684,0.593,0.018,0.46,0
0.0797,0.543,0.017,0.02,0
0.0701,0.542,0.016,0.01,0
0.051,0.335,0.015,0,0
0.0496,0.564,0.016,0.2,0
0.0516,0.4,0.036,0.49,0
0.0524,0.542,0.016,0.03,0
0.0322,0.475,0.016,0.01,0
0.0318,0.494,0.016,0,0
0.0345,0.61,0.016,0.15,0
0.0714,0.588,0.016,0.1,0
0.0745,0.554,0.017,0.22,0
0.0452,0.403,0.107,0,0
0.03,0.513,0.016,0.4,0
0.0802,0.525,0.024,0.49,0
0.0751,0.625,0.016,0.37,0
0.0778,0.547,0.02,0,0
0.0814,0.509,0.022,0.18,0
0.0731,0.637,0.018,0.17,0
0.0824,0.479,0.023,0.24,0
0.0726,0.469,0.025,0.08,0
0.053,0.467,0.018,0.25,0
0.0651,0.444,0.018,0,0
0.0508,0.492,0.018,0.29,0
0.0638,0.599,0.016,0.47,0
0.0511,0.58,0.02,0.01,0
0.0429,0.472,0.016,0.1,0
0.0556,0.427,0.021,0.28,0
0.0804,0.449,0.026,0.14,0
0.0756,0.63,0.024,0.36,0
0.0832,0.43,0.039,0.3,0
0.0494,0.627,0.016,0.32,0
0.0597,0.443,0.02,0.1,0
0.075,0.525,0.018,0,0
0.0652,0.543,0.019,0.24,0
0.05,0.512,0.016,0,0
0.0438,0.561,0.015,0.49,0
0.0683,0.562,0.015,0.17,0
0.0818,0.617,0.019,0.28,0
0.0409,0.455,0.015,0,0
0.0745,0.444,0.017,0.14,0
0.0493,0.411,0.017,0,0
0.0631,0.454,0.024,0.47,0
0.0411,0.58,0.015,0.11,0
0.0595,0.409,0.024,0.33,0
0.0705,0.642,0.017,0.39,0
0.0638,0.605,0.018,0.29,0
0.0733,0.534,0.019,0,0
0.0647,0.46,0.029,0.05,0
0.043,0.541,0.015,0.5,0
0.0376,0.572,0.016,0.24,0
0.0723,0.58,0.016,0,0
0.0684,0.463,0.018,0.18,0
0.06,0.481,0.019,0.01,0
0.051,0.423,0.024,0.05,0
0.0791,0.58,0.027,0.04,0
0.0605,0.375,0.019,0.2,0
0.0625,0.491,0.017,0.29,0
0.0498,0.338,0.022,0.08,0
0.0494,0.554,0.017,0.22,0
0.0448,0.365,0.016,0.08,0
0.0635,0.641,0.017,0,0
0.0696,0.601,0.019,0.31,0
0.0447,0.525,0.017,0.15,0
0.0832,0.456,0.019,0,0
0.046,0.411,0.02,0.26,0
0.0699,0.526,0.018,0.07,0
0.0491,0.523,0.016,0.02,0
0.0825,0.66,0.016,0.39,0
0.0716,0.442,0.018,0.03,0
0.0388,0.514,0.015,0.46,0
0.0482,0.551,0.016,0.18,0
0.0819,0.553,0.016,0.16,0
0.047,0.588,0.015,0.12,0
0.0441,0.464,0.019,0.07,0
0.0604,0.528,0.017,0.21,0
0.0602,0.464,0.017,0.4,0
0.073,0.554,0.026,0,0
0.0465,0.486,0.02,0,0
0.0376,0.43,0.023,0.24,0
0.0634,0.426,0.02,0.18,0
0.0476,0.543,0.016,0.33,0
0.0642,0.499,0.022,0.27,0
0.0656,0.633,0.018,0,0
0.0578,0.547,0.018,0,0
0.0439,0.581,0.016,0.01,0
0.0308,0.587,0.015,0.03,0
0.0619,0.537,0.016,0.32,0
0.0679,0.456,0.025,0,0
0.0483,0.501,0.015,0.35,0
0.0323,0.52,0.016,0.15,0
0.0822,0.639,0.021,0.13,0
0.0659,0.601,0.018,0.19,0
0.0734,0.503,0.016,0.29,0
0.0827,0.538,0.018,0,0
0.0724,0.629,0.019,0,0
0.0497,0.63,0.017,0.37,0
0.0387,0.591,0.016,0.14,0
0.0672,0.505,0.017,0.13,0
0.0426,0.434,0.015,0.25,0
0.0588,0.611,0.018,0.35,0
0.0673,0.614,0.016,0.2,0
0.0831,0.638,0.074,0,0
0.0831,0.432,0.017,0.05,0
0.0361,0.582,0.016,0.07,0
0.0591,0.514,0.022,0.12,0
0.0737,0.454,0.021,0,0
0.0662,0.432,0.024,0,0
0.0705,0.564,0.017,0.44,0
0.0704,0.579,0.018,0,0
0.0438,0.634,0.015,0.17,0
0.0652,0.461,0.017,0,0
0.0592,0.448,0.016,0.12,0
0.0715,0.519,0.018,0.06,0
0.065,0.573,0.019,0.1,0
0.0509,0.488,0.017,0,0
0.0786,0.614,0.019,0.29,0
0.0694,0.557,0.02,0.21,0
0.078,0.435,0.023,0.37,0
0.0592,0.551,0.016,0.05,0
0.0313,0.594,0.016,0.34,0
0.0631,0.507,0.021,0.13,0
0.0702,0.425,0.017,0.22,0
0.0627,0.486,0.017,0.23,0
0.0582,0.516,0.018,0.18,0
0.0504,0.477,0.018,0,0
0.0441,0.562,0.017,0.17,0
0.0614,0.441,0.024,0,0
0.0465,0.522,0.016,0,0
0.0669,0.545,0.016,0.17,0
0.0799,0.597,0.019,0.27,0
0.0457,0.628,0.017,0.21,0
0.0303,0.456,0.016,0.24,0
0.0704,0.445,0.029,0.41,0
0.0829,0.401,0.018,0.03,0
0.0844,0.418,0.022,0.04,0
0.0772,0.436,0.022,0,0
0.0327,0.615,0.015,0.12,0
0.0514,0.584,0.017,0.07,0
0.085,0.636,0.023,0.11,0
0.0501,0.5,0.02,0,0
