NSAID,RA,DEC,DISTANCE,DISTANCE_ERR,INCLINATION,V_W20I,V_W20I_ERR,R_EFF,R_EFF_ERR,M_HI,M_HI_ERR,M_STAR,M_STAR_ERR,SOURCE
65995,10:58:48.48,+12:20:49.72,211.30081176757812,2.143744945526123,75,177.67388916015625,121.3753662109375,6.450647,0.065444805,1.24612803E10,1.31859681E10,2.49763308E10,1.15040983E10,"           2"
65998,11:01:11.32,+12:28:29.11,115.825927734375,2.143744945526123,46,194.78074645996094,4.181820869445801,8.149896,0.15084097,1.20328264E10,1.15096973E9,6.3110865E10,2.90688635E10,"           2"
66060,11:06:15.77,+12:39:57.55,47.81581497192383,2.679940938949585,72,63.886985778808594,30.97020149230957,1.1074843,0.062071357,1.39747168E8,1.31336488E8,1.43759216E8,6.6215496E7,"           1"
66071,11:09:49.04,+12:46:12.77,186.42417907714844,2.143744945526123,31,317.9688415527344,22.49236297607422,5.5456166,0.06377063,3.9914066E10,3.73529984E9,3.4989113E10,1.61159854E10,"           2"
66073,11:12:24.40,+13:06:10.94,203.34271240234375,2.143744945526123,83,163.6095733642578,33.23025131225586,9.959202,0.104995094,1.48665948E10,4.9669156E9,1.10845911E10,5.1055626E9,"           2"
66074,11:10:34.61,+12:27:09.57,89.4177474975586,1.619378924369812,84,137.46517944335938,4.023743629455566,5.786989,0.10480389,5.6712356E9,5.4805754E8,5.9353467E9,2.73382067E9,"           2"
66075,11:10:45.22,+12:00:58.07,48.84169006347656,2.679940938949585,65,133.6218719482422,1.6606109142303467,5.4582486,0.2994938,3.25685632E9,7.4141677E8,1.20836506E10,5.5657298E9,"           2"
66078,11:11:37.87,+12:07:19.16,184.35736083984375,2.143744945526123,34,302.0575866699219,148.55477905273438,8.335233,0.09692378,1.09201582E10,8.7736136E9,1.03377773E11,4.7615799E10,"           2"
66084,11:13:56.51,+12:18:03.82,49.02384948730469,2.751441478729248,65,168.23348999023438,2.215665817260742,4.0011706,0.22456391,3.77856026E9,8.8004173E8,1.22269041E10,5.6317123E9,"           2"
66107,11:19:38.65,+11:26:43.11,44.64468002319336,2.8586959838867188,71,66.98388671875,26.430904388427734,1.8798606,0.12037157,3.6299344E8,2.63001456E8,1.27126648E8,5.8554536E7,"           2"
66126,11:19:20.91,+12:01:20.26,146.06207275390625,2.143744945526123,69,165.77212524414062,42.43709182739258,4.7419224,0.069596924,6.5417631E9,2.74548762E9,1.42125435E10,6.5462979E9,"           2"
66146,11:16:08.23,+11:02:54.95,85.1063461303711,1.4647126197814941,50,147.4078369140625,2.625197410583496,6.7769775,0.11663437,6.2153093E9,5.4094246E8,4.19934285E9,1.93421722E9,"           2"
66180,11:23:11.63,+13:07:03.87,206.3665771484375,2.143744945526123,47,141.06346130371094,23.1401424407959,5.696846,0.05917908,1.66126254E10,2.91520614E9,5.9419845E10,2.73687818E10,"           2"
66185,11:24:24.01,+12:24:56.13,172.90267944335938,2.143744945526123,90,182.19729614257812,36.29296875,9.455661,0.11723662,1.38337833E10,5.2885494E9,1.67083213E10,7.6958525E9,"           2"
66211,11:26:44.67,+12:50:54.32,179.4949951171875,2.143744945526123,73,207.86077880859375,75.97587585449219,6.222764,0.07431972,1.22848092E10,7.9814876E9,3.7394137E10,1.72237394E10,"           2"
66212,11:27:06.09,+13:14:19.29,86.99809265136719,1.5719172954559326,25,60.40545654296875,3.4879868030548096,4.209734,0.0760632,4.28201882E9,4.56466656E8,9.3584271E9,4.3104916E9,"           2"
66214,11:28:13.68,+13:01:49.59,111.846435546875,2.143744945526123,39,60.16056442260742,11.079257011413574,4.9403806,0.094691575,2.33644211E9,5.5480346E8,7.4759565E8,3.4434256E8,"           2"
66219,11:30:53.47,+13:23:23.77,86.54393768310547,1.5719172954559326,64,85.88933563232422,13.949881553649902,2.7053661,0.04913818,2.37152205E9,4.21181152E8,9.5490349E8,4.39828544E8,"           2"
66220,11:32:53.54,+13:09:50.39,149.5892333984375,2.143744945526123,41,132.5509033203125,27.272401809692383,6.006817,0.08608295,4.4170076E9,1.39128294E9,1.8571561E10,8.5540613E9,"           2"
66221,11:33:48.70,+12:37:32.10,88.82823944091797,1.750600814819336,86,110.02179718017578,9.023626327514648,3.4048944,0.067102656,2.63496653E9,4.7272688E8,9.3427398E8,4.30326592E8,"           2"
66223,11:40:01.64,+11:27:46.07,148.53872680664062,2.143744945526123,90,183.6820526123047,8.454364776611328,8.526977,0.12306327,1.68372654E10,2.01372134E9,2.37143613E10,1.09228349E10,"           2"
66241,11:34:48.95,+11:14:59.65,155.728271484375,2.143744945526123,64,170.8044891357422,38.824607849121094,6.3741746,0.087746456,1.0210475E10,3.6792256E9,4.437395E10,2.04386427E10,"           2"
66242,11:34:47.97,+11:46:16.50,137.4351348876953,2.143744945526123,52,145.00057983398438,19.099084854125977,16.151499,0.25193477,5.0804285E9,1.04209907E9,7.3198623E9,3.3715287E9,"           2"
66250,11:36:45.68,+13:25:27.73,200.30699157714844,2.143744945526123,39,56.398284912109375,7.969165325164795,3.8748927,0.041470252,6.667561E9,1.33691725E9,1.56727644E10,7.2188759E9,"           2"
66251,11:37:18.45,+13:29:13.35,200.14027404785156,2.143744945526123,44,214.45492553710938,51.52273178100586,6.650823,0.071238376,1.07519365E10,3.72705408E9,5.1845627E9,2.38800973E9,"           2"
66253,11:37:15.31,+13:15:32.28,88.56034851074219,1.7148631811141968,84,90.12854766845703,25.63421630859375,3.8554902,0.07465687,1.63170816E9,4.90165856E8,7.3202803E8,3.37172096E8,"           2"
66281,11:40:41.32,+12:34:46.83,184.55548095703125,2.143744945526123,46,176.72035217285156,72.00890350341797,6.851582,0.07958606,9.3543782E9,5.9725932E9,2.59580641E10,1.19562844E10,"           2"
66322,11:48:31.68,+11:05:51.13,149.01162719726562,2.143744945526123,88,164.01495361328125,20.017824172973633,8.695997,0.12510432,9.1162173E9,1.95199219E9,1.33583391E10,6.1528509E9,"           2"
66328,11:44:53.58,+11:44:59.19,187.36166381835938,2.143744945526123,34,249.0209503173828,24.816204071044922,4.269827,0.048854284,1.40570921E10,1.98993485E9,3.7034979E10,1.70583112E10,"           2"
66363,11:57:48.08,+12:02:18.30,39.18953323364258,2.0722599029541016,73,73.11148834228516,2.09309983253479,3.095304,0.16367315,1.11280819E9,2.51434976E8,4.90547936E8,2.25946368E8,"           2"
66402,11:58:43.43,+12:50:53.71,97.40335845947266,2.143744945526123,79,120.39618682861328,11.703211784362793,3.3133316,0.07292292,2.31295309E9,4.42194848E8,2.50260173E9,1.15269837E9,"           2"
66439,12:03:57.33,+12:41:29.33,97.9590072631836,2.143744945526123,65,93.02107238769531,25.30029296875,2.7697234,0.060612906,2.18149914E9,6.6405728E8,8.0607227E9,3.71276877E9,"           2"
