"bpt","logM200","r_r200","zoo"
0,-1.259720903,-0.6645607676,"S"
0,1.562361676,-0.5404126786,"S"
1,0.165702227,-1.0240989918,"S"
1,1.183157047,-0.6313716594,"S"
1,1.183157047,-0.5399277753,"S"
1,-0.719039596,-0.806783021,"S"
1,0.23426601,-0.9677469842,"S"
0,-0.449302497,-0.5423852694,"S"
0,-0.449302497,-0.6254061979,"S"
0,-0.449302497,-0.8051711957,"S"
0,-0.34504278,-0.4537289886,"S"
0,-0.265339106,-0.5287855451,"S"
1,-0.00284466,-0.5433247615,"S"
1,0.826370155,-0.9024565057,"S"
0,0.826370155,-1.0006461956,"S"
0,0.826370155,-0.5431699678,"S"
1,-0.916867495,-0.9192536339,"S"
0,-1.321111011,-0.5970612529,"S"
0,-1.321111011,-0.7297807754,"S"
0,0.151630786,-0.8285767993,"S"
1,0.151630786,-0.7786196141,"S"
0,-0.858443426,-0.9244089981,"S"
1,-0.595293693,-0.6065260533,"S"
0,-0.511589315,-0.8344495662,"S"
0,-1.155392208,-0.8180641582,"S"
0,-0.595293693,-0.920477847,"S"
0,-0.595293693,-0.6868994254,"S"
0,-1.357255299,-0.9240533301,"S"
1,-0.001947951,-0.9760583519,"S"
1,-0.892759807,-0.7652297268,"S"
0,-0.892759807,-0.9736621723,"S"
0,-0.311726575,-0.4064324121,"S"
0,-0.376358633,-0.5700199913,"S"
1,1.624027695,-0.934298722,"S"
1,1.624027695,-0.8177270978,"S"
0,-0.394879132,-0.7329321609,"S"
0,0.570428586,-0.7527840879,"S"
0,0.570428586,-0.8437978079,"S"
0,-0.06889076,-0.9472464755,"S"
0,-1.571810278,-0.9441300194,"S"
0,0.104691496,-0.6030508376,"S"
1,0.104691496,-0.5230996167,"S"
1,-0.319486561,-0.8804149054,"S"
0,0.104691496,-0.7913551838,"S"
1,1.045719081,-0.4400049491,"S"
0,1.045719081,-0.8234432124,"S"
1,0.828922328,-0.790389322,"S"
0,0.828922328,-0.6079138524,"S"
0,-1.076723198,-0.4983385871,"S"
0,0.182084419,-0.7443878894,"S"
0,0.182084419,-0.8843027202,"S"
0,0.182084419,-0.9624761561,"S"
1,0.287068401,-0.8534541277,"S"
0,0.422023173,-0.7100283576,"S"
0,0.065374235,-0.9518659325,"S"
1,1.572673835,-0.487420646,"S"
1,1.572673835,-0.4878165021,"S"
0,1.572673835,-0.540171078,"S"
1,1.572673835,-0.7393315663,"S"
0,1.572673835,-0.684220385,"S"
0,1.572673835,-0.8142817615,"S"
1,1.572673835,-0.4792157886,"S"
0,1.572673835,-0.7996660419,"S"
0,-0.831093788,-0.6956982329,"S"
0,-1.040406466,-0.7833374558,"S"
0,-1.039130379,-1.0138255869,"S"
0,-1.039130379,-0.9819308888,"S"
1,-1.039130379,-0.9673357598,"S"
1,-1.007780037,-0.7969120037,"S"
1,2.139670115,-0.8997406911,"S"
0,2.139670115,-0.8227259987,"S"
1,0.12303955,-0.4567563528,"S"
0,-0.72362661,-0.5402834732,"S"
1,-0.21122614,-0.6218371628,"S"
0,-0.647854662,-0.4772099107,"S"
0,-0.37146122,-0.8261373079,"S"
0,0.565979528,-0.7578267996,"S"
0,-0.877308813,-0.7979879731,"S"
1,-0.963841275,-0.8899853354,"S"
0,-0.868721096,-0.6787111253,"S"
0,-0.868721096,-0.8371828185,"S"
0,-0.529006171,-0.9878432835,"S"
1,2.047309042,-0.7535247674,"S"
1,2.047309042,-0.3500591798,"S"
0,1.248271949,-0.751099729,"S"
1,1.951499087,-0.4944577107,"S"
1,-0.572875957,-0.9040490587,"S"
1,0.926215303,-0.8726622266,"S"
0,-0.896450111,-0.8146305807,"S"
1,-0.896450111,-0.9478748676,"S"
0,-1.211781436,-0.8468567757,"S"
0,1.442030166,-0.7322791895,"S"
0,1.442030166,-0.781550819,"S"
0,-0.980740799,-1.0010643369,"S"
1,0.688725255,-0.7640375703,"S"
0,0.688725255,-0.768942977,"S"
0,-0.640405076,-0.8252816757,"S"
1,0.446303305,-0.9407997891,"S"
1,-0.698794656,-0.734278426,"S"
1,-1.205332026,-0.3421574312,"S"
0,-0.875204995,-0.6478261156,"S"
1,-0.875204995,-0.6565761258,"S"
0,-0.875204995,-0.7011861982,"S"
0,-0.69955341,-0.8354126061,"S"
0,1.699834132,-0.5800043441,"S"
1,1.699834132,-0.9521831452,"S"
1,1.699834132,-0.528238542,"S"
0,1.699834132,-0.4739610724,"S"
1,0.500968093,-0.7808761711,"S"
0,-1.018678506,-0.8397461149,"S"
1,-1.018678506,-0.7550629873,"S"
0,0.447682858,-0.9998548237,"S"
1,-1.126490572,-0.6093091427,"S"
1,0.251579401,-0.917156436,"S"
1,-0.617849384,-0.8164535218,"S"
1,2.073830948,-0.6516364562,"S"
0,2.073830948,-0.2633955113,"S"
1,-1.547633612,-0.6671794401,"S"
1,1.268551378,-0.5441180775,"S"
1,1.268551378,-0.9502555832,"S"
0,0.14566422,-0.3751812977,"S"
1,0.953220052,-0.7665136866,"S"
0,0.953220052,-0.4912429048,"S"
0,0.953220052,-0.7364468666,"S"
0,0.427541385,-0.9963382963,"S"
0,0.427541385,-0.3495906836,"S"
0,-1.312247383,-0.8915612444,"S"
1,1.060549275,-0.8968095148,"S"
1,1.624027695,-0.7632573808,"S"
0,0.229816952,-0.8103226541,"S"
0,0.586569356,-0.5004265435,"S"
0,1.533322086,-0.6804295886,"S"
0,1.533322086,-0.7651821996,"S"
0,1.533322086,-0.5428756302,"S"
0,1.533322086,-0.8826790471,"S"
1,-0.391326783,-0.8688476228,"S"
0,-0.325418639,-0.5926307772,"S"
0,-0.297551668,-0.9310205259,"S"
0,1.222922662,-0.7258618618,"S"
0,1.222922662,-0.612199548,"S"
0,1.222922662,-0.8230675379,"S"
1,1.222922662,-0.5335379282,"S"
1,0.05820056,-0.8226545661,"S"
0,0.118142137,-0.855896289,"S"
1,0.523454807,-0.8944299435,"S"
1,0.261926048,-0.4232566089,"S"
0,0.261926048,-0.7177051669,"S"
1,-1.279138111,-0.7972704204,"S"
1,0.523454807,-0.6500994033,"S"
0,-0.6810674,-0.6347190774,"S"
1,-1.279138111,-0.9796129022,"S"
1,1.885625431,-0.5517244161,"S"
1,1.885625431,-0.5639825202,"S"
0,1.885625431,-0.9998032263,"S"
0,1.885625431,-0.7363010783,"S"
0,1.885625431,-0.6990182836,"S"
0,-0.233298987,-0.3788980452,"S"
1,-0.305553075,-0.9231440813,"S"
1,-0.305553075,-0.7133887865,"S"
0,-0.305553075,-0.8043358076,"S"
0,-0.608020069,-0.5557482175,"S"
0,-1.158496202,-0.6483337575,"S"
1,-1.158496202,-0.4454807722,"S"
1,-1.086897401,-0.5668649742,"S"
