"name","zcmb","zhel","dz","mb","dmb","x1","dx1","color","dcolor","X3rdvar","d3rdvar","tmax","dtmax","cov_m_s","cov_m_c","cov_s_c","set","ra","dec","biascor"
"SDSS18241",0.09391,0.095,0,19.176568,0.11374,-1.123374,0.12998,-0.085483,0.025315,10.016,0.37,54372.950212,0.157066,0.001639,0.000632,0.000163,2,-47.612259,-0.761723,-0.001064
"SDSS18298",0.11863,0.11982,0,20.541778,0.127194,-2.724252,0.288071,0.255113,0.047959,10.684,0.17,54374.32564,0.212193,0.01227,0.002621,0.005152,2,18.266731,-0.540012,-0.001217
"SDSS18323",0.15363,0.155,0,20.240999,0.115274,0.15976,0.219868,-0.043411,0.028313,9.261,0.454,54375.478957,0.162004,0.005078,0.000808,0.001417,2,3.428632,0.652155,-0.001214
"SDSS18325",0.25356,0.255,0,21.278008,0.120869,0.392895,0.368987,-0.055306,0.044017,11.019,0.1985,54378.649084,0.426814,0.011958,0.001321,0.00304,2,8.905735,0.370035,-0.000472
"SDSS18375",0.10725,0.1085,0,19.337775,0.111743,0.163568,0.125517,0.066199,0.020874,10.139,0.098,54383.896714,0.219497,0.000161,0.000443,9.2e-05,2,11.516434,-0.010381,-0.001165
"SDSS18415",0.12961,0.13097,0,19.866162,0.113841,-1.62361,0.175057,-0.086675,0.028141,10.832,0.1715,54381.428755,0.243849,0.001265,0.000735,0.000405,2,-22.521715,1.058609,-0.001241
"SDSS18463",0.26665,0.268,0,21.322503,0.120817,0.941316,0.405739,-0.043687,0.045963,10.406,0.0995,54376.516334,0.430768,0.013279,0.001308,0.002764,2,17.565994,0.472038,-0.000365
"SDSS18466",0.21226,0.213,0,21.093299,0.115112,-0.17616,0.240624,0.03142,0.033372,10.726,0.2255,54381.410978,0.342213,0.002876,0.000919,0.000535,2,48.418526,0.629998,-0.000838
"SDSS18485",0.27822,0.279,0,21.278193,0.117336,1.31567,0.410743,-0.088149,0.039231,10.63,0.121,54388.937629,0.453899,0.009487,0.000943,0.002316,2,47.959118,-0.692416,-0.000279
"SDSS18486",0.2454,0.246,0,20.753569,0.114389,1.112899,0.263746,-0.108783,0.034045,5,10,54390.103297,0.283616,0.003544,0.000771,0.000643,2,55.180023,1.003079,-0.000543
"SDSS18602",0.13362,0.135,0,20.091364,0.113865,0.915935,0.181596,0.062187,0.027935,9.408,0.2115,54393.768678,0.132757,0.002792,0.000776,0.001358,2,-21.016417,0.609241,-0.001244
